bug: apr_signal_description_get in ap_process_child_status, pair: (apr_proc_wait, apr_signal_description_get), support: 3, confidence: 75.00%
bug: apr_pollset_add in make_child, pair: (apr_pollset_add, apr_pollset_wakeup), support: 4, confidence: 80.00%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_pollset_remove, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in event_register_timed_callback, pair: (apr_pollset_remove, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in process_socket, pair: (apr_pollset_remove, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_remove in process_timeout_queue, pair: (apr_pollset_remove, apr_pollset_wakeup), support: 6, confidence: 85.71%
bug: ap_regexec in ap_rxplus_exec, pair: (ap_regexec, apr_pstrndup), support: 3, confidence: 75.00%
bug: ap_regexec in ap_rxplus_exec, pair: (ap_regexec, strcmp), support: 3, confidence: 75.00%
bug: apr_proc_create in ap_get_exec_line, pair: (apr_proc_create, apr_tokenize_to_argv), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_proc_create, apr_tokenize_to_argv), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_get_exec_line, pair: (apr_proc_create, apr_procattr_child_errfn_set), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_proc_create, apr_procattr_child_errfn_set), support: 5, confidence: 71.43%
bug: apr_proc_create in open_error_log, pair: (apr_file_close, apr_proc_create), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_file_close, apr_proc_create), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_proc_create, apr_procattr_create), support: 6, confidence: 85.71%
bug: apr_proc_create in ap_get_exec_line, pair: (apr_proc_create, apr_procattr_error_check_set), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_proc_create, apr_procattr_error_check_set), support: 5, confidence: 71.43%
bug: apr_proc_create in ap_os_create_privileged_process, pair: (apr_proc_create, apr_procattr_dir_set), support: 6, confidence: 85.71%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_overlap, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlap, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlap, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlap, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlap in ap_add_common_vars, pair: (apr_table_overlap, apr_table_overlay), support: 8, confidence: 88.89%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, strlen), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, strlen), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (__ctype_b_loc, apr_table_overlay), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_cookie_read, pair: (__ctype_b_loc, apr_table_overlay), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlay, apr_table_unset), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, apr_table_unset), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_filepath_name_get, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_filepath_name_get, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_filepath_name_get, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_filepath_name_get, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_filepath_name_get in main, pair: (apr_filepath_name_get, apr_table_overlay), support: 8, confidence: 88.89%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_make, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_make, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_make, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_overlay, strchr), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlay, strchr), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, strchr), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, strchr), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_add, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_add, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_add, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_add, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_date_parse_http in ap_condition_if_range, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_date_parse_http in ap_condition_if_modified_since, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_date_parse_http in ap_condition_if_unmodified_since, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_date_parse_http in ap_meets_conditions, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_overlay, strtol), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlay, strtol), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, strtol), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, strtol), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_is_empty_table in ap_directory_walk, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_is_empty_table in ap_add_common_vars, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_is_empty_table in core_map_to_storage, pair: (apr_is_empty_table, apr_table_overlay), support: 9, confidence: 75.00%
bug: apr_table_overlay in ap_http_header_filter, pair: (ap_update_mtime, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (ap_update_mtime, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (ap_update_mtime, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (ap_update_mtime, apr_table_overlay), support: 8, confidence: 66.67%
bug: ap_update_mtime in default_handler, pair: (ap_update_mtime, apr_table_overlay), support: 8, confidence: 88.89%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_pstrdup, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_pstrdup, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_pstrdup, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_pstrdup, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_do, apr_table_overlay), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_do, apr_table_overlay), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_table_overlay, apr_table_set), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlay, apr_table_set), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, apr_table_set), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, apr_table_set), support: 8, confidence: 66.67%
bug: apr_table_set in ap_args_to_table, pair: (apr_table_overlay, apr_table_set), support: 8, confidence: 88.89%
bug: apr_table_overlay in ap_http_filter, pair: (ap_log_rerror_, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (ap_log_rerror_, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_scan_script_header_err_core_ex, pair: (ap_log_rerror_, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_cookie_read, pair: (ap_log_rerror_, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, strcasecmp), support: 10, confidence: 83.33%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, strcasecmp), support: 10, confidence: 83.33%
bug: ap_queue_info_term in child_main, pair: (ap_queue_info_term, apr_thread_mutex_lock), support: 3, confidence: 75.00%
bug: ap_queue_info_term in child_main, pair: (ap_queue_info_term, apr_thread_cond_signal), support: 3, confidence: 75.00%
bug: ap_queue_info_term in child_main, pair: (ap_queue_info_term, apr_atomic_inc32), support: 3, confidence: 75.00%
bug: ap_queue_info_term in child_main, pair: (ap_queue_info_term, apr_atomic_read32), support: 3, confidence: 75.00%
bug: ap_queue_info_term in child_main, pair: (ap_queue_info_term, apr_thread_mutex_unlock), support: 3, confidence: 75.00%
bug: ap_queue_info_term in worker_thread, pair: (ap_queue_info_term, apr_pool_destroy), support: 3, confidence: 75.00%
bug: ap_queue_info_term in push2worker, pair: (ap_queue_info_term, apr_pollset_add), support: 3, confidence: 75.00%
bug: ap_queue_info_term in listener_thread, pair: (ap_queue_info_term, apr_socket_close), support: 3, confidence: 75.00%
bug: ap_queue_info_term in push2worker, pair: (ap_queue_info_term, free), support: 3, confidence: 75.00%
bug: apr_file_info_get in file_func, pair: (apr_file_info_get, strcmp), support: 3, confidence: 75.00%
bug: apr_file_info_get in file_func, pair: (apr_file_info_get, apr_pstrdup), support: 3, confidence: 75.00%
bug: sigemptyset in ap_fatal_signal_setup, pair: (apr_palloc, sigemptyset), support: 6, confidence: 85.71%
bug: sigemptyset in listener_thread, pair: (apr_pool_cleanup_register, sigemptyset), support: 5, confidence: 71.43%
bug: sigemptyset in make_child, pair: (apr_pool_cleanup_register, sigemptyset), support: 5, confidence: 71.43%
bug: sigemptyset in ap_fatal_signal_setup, pair: (ap_log_error_, sigemptyset), support: 6, confidence: 85.71%
bug: sigemptyset in listener_thread, pair: (__errno_location, sigemptyset), support: 5, confidence: 71.43%
bug: sigemptyset in child_main, pair: (__errno_location, sigemptyset), support: 5, confidence: 71.43%
bug: apr_signal in fatal_signal_cleanup, pair: (apr_signal, sigemptyset), support: 4, confidence: 66.67%
bug: apr_signal in sig_coredump, pair: (apr_signal, sigemptyset), support: 4, confidence: 66.67%
bug: sigemptyset in listener_thread, pair: (getpid, sigemptyset), support: 6, confidence: 85.71%
bug: ap_cstr_casecmp in ap_regcomp_default_cflag_by_name, pair: (ap_cstr_casecmp, apr_palloc), support: 3, confidence: 75.00%
bug: apr_table_elts in ap_fcgi_encoded_env_len, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 76.92%
bug: apr_table_elts in ap_fcgi_encode_env, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 76.92%
bug: apr_table_elts in ap_process_request, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 76.92%
bug: apr_pool_cleanup_run in ap_varbuf_free, pair: (apr_palloc, apr_pool_cleanup_run), support: 8, confidence: 80.00%
bug: apr_pool_cleanup_run in ap_close_piped_log, pair: (apr_palloc, apr_pool_cleanup_run), support: 8, confidence: 80.00%
bug: ap_die_r in ap_die, pair: (ap_die_r, apr_palloc), support: 8, confidence: 80.00%
bug: ap_die_r in ap_process_request, pair: (ap_die_r, apr_palloc), support: 8, confidence: 80.00%
bug: apr_bucket_transient_create in ap_http_chunk_filter, pair: (apr_bucket_transient_create, apr_palloc), support: 7, confidence: 87.50%
bug: apr_hash_set in ap_register_auth_provider, pair: (apr_hash_set, apr_palloc), support: 15, confidence: 83.33%
bug: apr_hash_set in set_cgi_var, pair: (apr_hash_set, apr_palloc), support: 15, confidence: 83.33%
bug: apr_hash_set in ap_register_provider, pair: (apr_hash_set, apr_palloc), support: 15, confidence: 83.33%
bug: apr_pool_cleanup_register in ap_create_scoreboard, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in load_module, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_fatal_signal_setup, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_register_auth_provider, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in conf_vector_length_pre_config, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_register_provider, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_register_request_note, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in event_pre_read_request, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_setup_listeners, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_add_version_component, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_pool_cleanup_register in ap_expr_post_config, pair: (apr_palloc, apr_pool_cleanup_register), support: 40, confidence: 78.43%
bug: apr_array_copy in set_define, pair: (apr_array_copy, apr_palloc), support: 6, confidence: 75.00%
bug: apr_array_copy in unset_define, pair: (apr_array_copy, apr_palloc), support: 6, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_off_t_toa, apr_palloc), support: 3, confidence: 75.00%
bug: ap_is_url in ap_die, pair: (ap_is_url, apr_palloc), support: 7, confidence: 87.50%
bug: ap_update_child_status in ap_lingering_close, pair: (ap_update_child_status, apr_palloc), support: 3, confidence: 75.00%
bug: apr_file_close in piped_log_cleanup_for_exec, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in ap_logs_child_init, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in cfg_close, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in piped_log_cleanup, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in ap_mpm_podx_close, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in ap_mpm_pod_close, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in ap_replace_stderr_log, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_file_close in ap_log_pid, pair: (apr_file_close, apr_palloc), support: 16, confidence: 66.67%
bug: apr_pstrndup in ap_rxplus_pmatch, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: apr_pstrndup in generate_error, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: apr_pstrndup in md5_func, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: apr_pstrndup in ap_md5_binary, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: apr_pstrndup in ap_md5, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: apr_pstrndup in server_hostname_port, pair: (apr_palloc, apr_pstrndup), support: 16, confidence: 72.73%
bug: ap_satisfies in ap_some_authn_required, pair: (ap_satisfies, apr_palloc), support: 8, confidence: 88.89%
bug: ap_if_walk_sub in ap_if_walk, pair: (ap_if_walk_sub, apr_palloc), support: 9, confidence: 90.00%
bug: ap_response_code_string in ap_die, pair: (ap_response_code_string, apr_palloc), support: 6, confidence: 85.71%
bug: ap_index_of_response in ap_die, pair: (ap_index_of_response, apr_palloc), support: 7, confidence: 87.50%
bug: apr_brigade_writev in form_header_field, pair: (apr_brigade_writev, apr_palloc), support: 3, confidence: 75.00%
bug: apr_atomic_inc32 in ap_queue_info_wait_for_idler, pair: (apr_atomic_inc32, apr_palloc), support: 7, confidence: 87.50%
bug: apr_file_open_stdout in process_resource_config_cb, pair: (apr_file_open_stdout, apr_palloc), support: 6, confidence: 66.67%
bug: apr_file_open_stdout in core_dump_config, pair: (apr_file_open_stdout, apr_palloc), support: 6, confidence: 66.67%
bug: apr_file_open_stdout in dump_loaded_modules, pair: (apr_file_open_stdout, apr_palloc), support: 6, confidence: 66.67%
bug: apr_file_read in ap_mpm_pod_check, pair: (apr_file_read, apr_palloc), support: 4, confidence: 80.00%
bug: sigaction in ap_fatal_signal_setup, pair: (apr_palloc, sigaction), support: 3, confidence: 75.00%
bug: ap_remove_output_filter in ap_internal_fast_redirect, pair: (ap_remove_output_filter, apr_palloc), support: 5, confidence: 83.33%
bug: apr_fnmatch_test in server_hostname_port, pair: (apr_fnmatch_test, apr_palloc), support: 6, confidence: 85.71%
bug: ap_invoke_handler in ap_die, pair: (ap_invoke_handler, apr_palloc), support: 6, confidence: 75.00%
bug: ap_invoke_handler in ap_process_request, pair: (ap_invoke_handler, apr_palloc), support: 6, confidence: 75.00%
bug: apr_pmemdup in mxcfg_lookup, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in merge_core_server_configs, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_dump_mutexes, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_parse_form_data, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_proc_mutex_create, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_run_sub_req, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_invoke_handler, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: apr_pmemdup in ap_global_mutex_create, pair: (apr_palloc, apr_pmemdup), support: 17, confidence: 68.00%
bug: __ctype_toupper_loc in toupper_func, pair: (__ctype_toupper_loc, apr_palloc), support: 6, confidence: 66.67%
bug: __ctype_toupper_loc in ap_regname, pair: (__ctype_toupper_loc, apr_palloc), support: 6, confidence: 66.67%
bug: __ctype_toupper_loc in ap_str_toupper, pair: (__ctype_toupper_loc, apr_palloc), support: 6, confidence: 66.67%
bug: apr_pool_userdata_setn in ap_process_request_after_handler, pair: (apr_palloc, apr_pool_userdata_setn), support: 4, confidence: 66.67%
bug: apr_pool_userdata_setn in ap_process_request, pair: (apr_palloc, apr_pool_userdata_setn), support: 4, confidence: 66.67%
bug: apr_atomic_read32 in decrement_connection_count, pair: (apr_atomic_read32, apr_palloc), support: 7, confidence: 77.78%
bug: apr_atomic_read32 in ap_queue_info_num_idlers, pair: (apr_atomic_read32, apr_palloc), support: 7, confidence: 77.78%
bug: ap_finalize_request_protocol in ap_die, pair: (ap_finalize_request_protocol, apr_palloc), support: 6, confidence: 85.71%
bug: apr_fnmatch in op_strmatch, pair: (apr_fnmatch, apr_palloc), support: 7, confidence: 70.00%
bug: apr_fnmatch in op_strcmatch, pair: (apr_fnmatch, apr_palloc), support: 7, confidence: 70.00%
bug: apr_fnmatch in op_fnmatch, pair: (apr_fnmatch, apr_palloc), support: 7, confidence: 70.00%
bug: ap_cfg_closefile in process_resource_config_cb, pair: (ap_cfg_closefile, apr_palloc), support: 5, confidence: 83.33%
bug: ap_log_perror_ in ap_process_config_tree, pair: (ap_log_perror_, apr_palloc), support: 14, confidence: 82.35%
bug: ap_log_perror_ in ap_setup_listeners, pair: (ap_log_perror_, apr_palloc), support: 14, confidence: 82.35%
bug: ap_log_perror_ in ap_walk_config, pair: (ap_log_perror_, apr_palloc), support: 14, confidence: 82.35%
bug: add_any_filter in core_insert_filter, pair: (add_any_filter, apr_palloc), support: 3, confidence: 75.00%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_palloc, apr_uri_parse_hostinfo), support: 5, confidence: 83.33%
bug: ap_get_conn_socket in ap_start_lingering_close, pair: (ap_get_conn_socket, apr_palloc), support: 6, confidence: 75.00%
bug: ap_get_conn_socket in ap_lingering_close, pair: (ap_get_conn_socket, apr_palloc), support: 6, confidence: 75.00%
bug: ap_run_insert_filter in ap_invoke_handler, pair: (ap_run_insert_filter, apr_palloc), support: 4, confidence: 66.67%
bug: ap_run_insert_filter in ap_run_sub_req, pair: (ap_run_insert_filter, apr_palloc), support: 4, confidence: 66.67%
bug: invoke_cmd in ap_process_config_tree, pair: (apr_palloc, invoke_cmd), support: 9, confidence: 90.00%
bug: apr_filepath_root in ap_os_is_path_absolute, pair: (apr_filepath_root, apr_palloc), support: 4, confidence: 80.00%
bug: apr_pool_clear in setaside_remaining_output, pair: (apr_palloc, apr_pool_clear), support: 8, confidence: 88.89%
bug: ap_parse_uri in op_file_subr, pair: (ap_parse_uri, apr_palloc), support: 4, confidence: 66.67%
bug: ap_parse_uri in ap_sub_req_lookup_uri, pair: (ap_parse_uri, apr_palloc), support: 4, confidence: 66.67%
bug: apr_pool_tag in setaside_remaining_output, pair: (apr_palloc, apr_pool_tag), support: 12, confidence: 92.31%
bug: apr_uri_parse in ap_parse_uri, pair: (apr_palloc, apr_uri_parse), support: 5, confidence: 83.33%
bug: apr_thread_mutex_create in core_child_init, pair: (apr_palloc, apr_thread_mutex_create), support: 6, confidence: 75.00%
bug: apr_thread_mutex_create in ap_process_request, pair: (apr_palloc, apr_thread_mutex_create), support: 6, confidence: 75.00%
bug: apr_sockaddr_ip_get in ap_get_local_host, pair: (apr_palloc, apr_sockaddr_ip_get), support: 3, confidence: 75.00%
bug: ap_merge_per_dir_configs in ap_if_walk, pair: (ap_merge_per_dir_configs, apr_palloc), support: 3, confidence: 75.00%
bug: apr_pool_create_ex in dummy_connection, pair: (apr_palloc, apr_pool_create_ex), support: 19, confidence: 79.17%
bug: apr_pool_create_ex in ap_create_scoreboard, pair: (apr_palloc, apr_pool_create_ex), support: 19, confidence: 79.17%
bug: apr_pool_create_ex in ap_mpm_pod_signal, pair: (apr_palloc, apr_pool_create_ex), support: 19, confidence: 79.17%
bug: apr_pool_create_ex in ap_mpm_pod_killpg, pair: (apr_palloc, apr_pool_create_ex), support: 19, confidence: 79.17%
bug: apr_pool_create_ex in setaside_remaining_output, pair: (apr_palloc, apr_pool_create_ex), support: 19, confidence: 79.17%
bug: apr_brigade_write in ap_send_interim_response, pair: (apr_brigade_write, apr_palloc), support: 8, confidence: 80.00%
bug: apr_brigade_write in core_upgrade_handler, pair: (apr_brigade_write, apr_palloc), support: 8, confidence: 80.00%
bug: ap_getword_conf in ap_walk_config, pair: (ap_getword_conf, apr_palloc), support: 11, confidence: 91.67%
bug: internal_internal_redirect in ap_die, pair: (apr_palloc, internal_internal_redirect), support: 5, confidence: 83.33%
